,Content ID,Reaction Type,Datetime,content Type,Category,Sentiment,Score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,07-11-2020 09:43,photo,Studying,negative,0
2,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,17-06-2021 12:22,photo,healthy eating,negative,10
3,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,18-04-2021 05:13,photo,healthy eating,negative,15
4,356fff80-da4d-4785-9f43-bc1261031dc6,disgust,06-01-2021 19:13,photo,technology,negative,0
5,01ab84dd-6364-4236-abbb-3f237db77180,interested,23-08-2020 12:25,video,food,positive,30
6,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,07-12-2020 06:27,GIF,cooking,neutral,35
7,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,11-04-2021 17:35,video,dogs,positive,70
8,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,hate,27-01-2021 08:32,video,technology,negative,5
9,0bedca96-fb76-4287-a83c-17330ed39cce,peeking,01-04-2021 22:54,photo,soccer,neutral,35
10,b18cb63f-4c8e-44ee-a47f-541e95191d11,love,04-08-2020 05:05,photo,public speaking,positive,65
11,5118e9c5-1377-4cc5-a486-65b35b7b7b76,indifferent,07-11-2020 08:36,GIF,science,neutral,20
12,46fb701d-6c26-458e-ada3-2ebe5dbba01f,scared,02-11-2020 06:28,audio,public speaking,negative,15
13,0be59876-d70c-486c-8e0b-a06bef7a2cd6,interested,01-11-2020 01:16,GIF,tennis,positive,30
14,81abd65a-3b76-4574-a0a7-db6bf7184ae2,hate,07-10-2020 18:39,video,food,negative,5
15,e6ee2244-9382-49a9-8cbf-fa54aaaa2392,scared,03-09-2020 18:51,audio,travel,negative,15
16,7ffd0a82-4a0a-4527-a4d6-e251b756bac7,super love,24-02-2021 05:09,GIF,fitness,positive,75
17,f332d362-dc48-46c2-a64b-641157c0987e,peeking,23-09-2020 06:24,GIF,soccer,neutral,35
